category,date,title,pdf_url,pdf_filename,local_path
Master Circulars,"Sep 11, 2013",Master Circular for Mutual Funds,https://www.sebi.gov.in/sebi_data/attachdocs/1378979660117.pdf,1378979660117.pdf,pdfs\Master_Circular_for_Mutual_Funds\1378979660117.pdf
Master Circulars,"Apr 17, 2013",Master Circular for Stock Exchange - Cash Market,https://www.sebi.gov.in/sebi_data/attachdocs/1366194098437.pdf,1366194098437.pdf,pdfs\Master_Circular_for_Stock_Exchange_-_Cash_Market\1366194098437.pdf
Master Circulars,"Apr 15, 2013",Master Circular for Depositories,https://www.sebi.gov.in/sebi_data/attachdocs/1366025894493.pdf,1366025894493.pdf,pdfs\Master_Circular_for_Depositories\1366025894493.pdf
Master Circulars,"Apr 01, 2013",Master Circular on Matters relating to Exchange Traded Derivatives,https://www.sebi.gov.in/sebi_data/attachdocs/1364810013011.pdf,1364810013011.pdf,pdfs\Master_Circular_on_Matters_relating_to_Exchange_Traded_Derivatives\1364810013011.pdf
Master Circulars,"May 11, 2012",Master Circular for Mutual Funds,https://www.sebi.gov.in/sebi_data/attachdocs/1337083696184.pdf,1337083696184.pdf,pdfs\Master_Circular_for_Mutual_Funds\1337083696184.pdf
Master Circulars,"Apr 13, 2012",Master Circular for Depositories,https://www.sebi.gov.in/sebi_data/attachdocs/1334309345244.pdf,1334309345244.pdf,pdfs\Master_Circular_for_Depositories\1334309345244.pdf
Master Circulars,"Apr 13, 2012",Master Circular for Stock Exchanges / Cash Market,https://www.sebi.gov.in/sebi_data/attachdocs/1334312676570.pdf,1334312676570.pdf,pdfs\Master_Circular_for_Stock_Exchanges___Cash_Market\1334312676570.pdf
Master Circulars,"Jan 02, 2012",Master Circular on Matters relating to Exchange Traded Derivatives,https://www.sebi.gov.in/sebi_data/attachdocs/1325563500148.pdf,1325563500148.pdf,pdfs\Master_Circular_on_Matters_relating_to_Exchange_Traded_Derivatives\1325563500148.pdf
Master Circulars,"Jan 07, 2011",Master Circular for Mutual Funds,https://www.sebi.gov.in/sebi_data/attachdocs/1295932761762.pdf,1295932761762.pdf,pdfs\Master_Circular_for_Mutual_Funds\1295932761762.pdf
Master Circulars,"Dec 31, 2010",AML/CFT- Master Circular,https://www.sebi.gov.in/sebi_data/attachdocs/1295933371907.pdf,1295933371907.pdf,pdfs\AML_CFT-_Master_Circular\1295933371907.pdf
Master Circulars,"Dec 31, 2010",Master Circular for Depositories,https://www.sebi.gov.in/sebi_data/attachdocs/1295933216347.pdf,1295933216347.pdf,pdfs\Master_Circular_for_Depositories\1295933216347.pdf
Master Circulars,"Dec 31, 2010",Master circular for Exchange Traded Derivatives,https://www.sebi.gov.in/sebi_data/attachdocs/1295932890510.pdf,1295932890510.pdf,pdfs\Master_circular_for_Exchange_Traded_Derivatives\1295932890510.pdf
Master Circulars,"Dec 31, 2010",Master Circular for Stock Exchange - Cash Market,https://www.sebi.gov.in/sebi_data/attachdocs/1295933105393.pdf,1295933105393.pdf,pdfs\Master_Circular_for_Stock_Exchange_-_Cash_Market\1295933105393.pdf
Master Circulars,"Dec 31, 2010",Master Circular for Stock Exchanges and Depositories,https://www.sebi.gov.in/sebi_data/attachdocs/1295932992258.pdf,1295932992258.pdf,pdfs\Master_Circular_for_Stock_Exchanges_and_Depositories\1295932992258.pdf
Master Circulars,"Dec 31, 2010","Master Circular on Administration of Stock Exchanges, Arbitration in recognised Stock Exchanges and Stock Exchanges / trading platform for Small & Medium Enterprises including guidelines for Market Makers",https://www.sebi.gov.in/sebi_data/attachdocs/1295933281760.pdf,1295933281760.pdf,"pdfs\Master_Circular_on_Administration_of_Stock_Exchanges,_Arbitration_in_recognised_Stock_Exchanges_and_\1295933281760.pdf"
Master Circulars,"Apr 06, 2010",Master Circular for Depositories,https://www.sebi.gov.in/sebi_data/attachdocs/1288241538490.pdf,1288241538490.pdf,pdfs\Master_Circular_for_Depositories\1288241538490.pdf
Master Circulars,"Apr 06, 2010",Master Circular for Stock Exchange - Cash Market,https://www.sebi.gov.in/sebi_data/commondocs/anncir1_p.pdf,anncir1_p.pdf,pdfs\Master_Circular_for_Stock_Exchange_-_Cash_Market\anncir1_p.pdf
Master Circulars,"Apr 06, 2010","Master Circular on Allotment of codes to Stock Exchanges, Subsidiary management by Stock Exchanges, Governance of recognised Stock Exchanges and Arbitration in recognised Stock Exchanges",https://www.sebi.gov.in/sebi_data/attachdocs/1288241642407.pdf,1288241642407.pdf,"pdfs\Master_Circular_on_Allotment_of_codes_to_Stock_Exchanges,_Subsidiary_management_by_Stock_Exchanges,_\1288241642407.pdf"
Master Circulars,"Mar 17, 2010",Master Circular on Oversight of Members (Stock Brokers/Trading Members/Clearing Members of any Segment of Stock Exchanges and Clearing Corporations),https://www.sebi.gov.in/sebi_data/attachdocs/1288263327681.pdf,1288263327681.pdf,pdfs\Master_Circular_on_Oversight_of_Members_(Stock_Brokers_Trading_Members_Clearing_Members_of_any_Segme\1288263327681.pdf
Master Circulars,"Feb 12, 2010",Master Circular on Anti-Money Laundering (AML) and Combating Financing of Terrorism (CFT) Standards,https://www.sebi.gov.in/sebi_data/attachdocs/1288589718708.pdf,1288589718708.pdf,pdfs\Master_Circular_on_Anti-Money_Laundering_(AML)_and_Combating_Financing_of_Terrorism_(CFT)_Standards\1288589718708.pdf
Master Circulars,"Jan 01, 2010",Master Circular-Mutual Funds,https://www.sebi.gov.in/sebi_data/attachdocs/1288605865307.pdf,1288605865307.pdf,pdfs\Master_Circular-Mutual_Funds\1288605865307.pdf
Master Circulars,"Dec 19, 2008",Master Circular on Anti Money Laundering and Combating Financing of Terrorism (AML and CFT) Standards-,https://www.sebi.gov.in/sebi_data/commondocs/isdcir0108_p.pdf,isdcir0108_p.pdf,pdfs\Master_Circular_on_Anti_Money_Laundering_and_Combating_Financing_of_Terrorism_(AML_and_CFT)_Standard\isdcir0108_p.pdf
